NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2008;463041;110525;164173;188343
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2008;256391;64556;93094;98741
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2008;106317;32734;34752;38831
Posamezniki;2009;1578677;294338;552764;731575
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2009;978285;212953;333373;431959
..Pošiljanje ali prejemanje e-pošte;2009;832775;185901;286732;360142
..E-banèništvo;2009;386309;82220;142189;161900
..Iskanje informacij o blagu, storitvah;2009;773656;186000;255804;331852
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2009;568739;142328;184558;241854
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2009;195462;56279;60110;79074
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2009;397874;106939;130011;160925
..Branje spletni novic, spletnih èasopisov, spletnih revij;2009;533674;132195;167951;233528
...Naroèilo na spletne èasopisove, revije;2009;102214;21849;35159;45207
..Iskanje službe, pošiljanje prošenj za službo;2009;193163;48408;62717;82038
..Iskanje informacij, povezanih z zdravjem;2009;512423;143656;162112;206655
..E-naroèanje obiska pri zdravniku;2009;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2009;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2009;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2009;317095;83718;116115;117262
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2009;225441;70830;67267;87344
...Telefoniranje prek interneta;2009;164874;60581;47623;56670
…Video telefoniranje s spletno kamero prek interneta;2009;135217;42795;42386;50037
..Telefoniranje prek interneta, videokonferenca;2009;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2009;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2009;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2009;-;-;-;-
..Prodaja blaga, storitev;2009;293329;68477;100318;124534
..Prenašanje programske opreme;2009;311893;92382;93184;126327
..Nalaganje lastnih vsebin na spletne strani;2009;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2009;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2009;-;-;-;-
..Nalaganje vsebin na spletno stran;2009;361031;89391;112332;159308
..Pridobivanje informacij o izobraževanju;2009;335775;85819;112201;137754
..Opravljanje teèaja prek interneta;2009;50556;19075;12085;19396
..Pridobivanje novih znanj, informacij;2009;453878;118556;150626;184696
..Uporaba interneta za izobraževanje in teèaje;2009;607779;151804;202964;253011
..Udeležba kakršnega koli teèaja;2009;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2009;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2009;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2009;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2009;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2009;565945;139963;199479;226504
