NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Uèenec, dijak, študent;Zaposlen, samozaposlen;Upokojenec;Drugo
..Pošiljanje komentarjev na druge bloge;2008;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2008;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2008;499536;104664;356660;21297;16916
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2008;463041;96692;329799;20477;16074
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2008;256391;38916;204569;9426;3480
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2008;106317;15690;85691;2570;2368
Posamezniki;2009;1578677;197921;870680;359729;150347
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2009;978285;195686;651192;62258;69150
..Pošiljanje ali prejemanje e-pošte;2009;832775;190525;552249;37399;52603
..E-banèništvo;2009;386309;32468;318816;16412;18612
..Iskanje informacij o blagu, storitvah;2009;773656;144995;529973;48274;50413
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2009;568739;93038;412195;28316;35190
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2009;195462;29692;149997;6519;9255
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2009;397874;71487;289779;20562;16046
..Branje spletni novic, spletnih èasopisov, spletnih revij;2009;533674;111440;360648;32940;28646
...Naroèilo na spletne èasopisove, revije;2009;102214;21260;71099;6262;3593
..Iskanje službe, pošiljanje prošenj za službo;2009;193163;49645;108492;1355;33670
..Iskanje informacij, povezanih z zdravjem;2009;512423;95987;344447;39138;32851
..E-naroèanje obiska pri zdravniku;2009;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2009;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2009;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2009;317095;149358;147278;3212;17246
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2009;225441;66181;136688;9778;12794
...Telefoniranje prek interneta;2009;164874;38844;110341;6145;9543
…Video telefoniranje s spletno kamero prek interneta;2009;135217;47550;74481;6530;6657
..Telefoniranje prek interneta, videokonferenca;2009;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2009;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2009;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2009;-;-;-;-;-
..Prodaja blaga, storitev;2009;293329;62578;205114;10430;15207
..Prenašanje programske opreme;2009;311893;113744;177124;5787;15239
..Nalaganje lastnih vsebin na spletne strani;2009;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2009;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2009;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2009;361031;119869;210938;9661;20563
..Pridobivanje informacij o izobraževanju;2009;335775;88915;214509;12357;19994
..Opravljanje teèaja prek interneta;2009;50556;22935;23588;1018;3015
..Pridobivanje novih znanj, informacij;2009;453878;133002;274023;12355;34497
..Uporaba interneta za izobraževanje in teèaje;2009;607779;157768;387163;22284;40565
..Udeležba kakršnega koli teèaja;2009;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2009;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2009;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2009;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2009;-;-;-;-;-
