NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;16–24;25–34;35–44;45–54;55–64;65–74;Moški – SKUPAJ;Moški 16–24;Moški 25–54;Moški 55–74;Ženske – SKUPAJ;Ženske 16–24;Ženske 25–54;Ženske 55–74
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2007;467959;114115;128149;116580;80304;21841;6970;223732;55431;151090;17211;244227;58684;173943;11600
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2007;438283;111811;119547;106079;75835;19039;5972;212966;54493;143260;15213;225316;57317;158201;9798
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2007;241293;32451;78138;67044;44910;15676;3073;112535;11769;88830;11937;128758;20682;101263;6813
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2007;99132;13485;29354;23410;23940;7945;998;50144;6341;38168;5635;48988;7143;38536;3308
Posamezniki;2008;1588357;216352;311927;308802;317385;247152;186739;805094;114139;485252;205703;783262;102212;452861;228189
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2008;887276;202587;262168;218943;129477;66091;8010;461157;104141;314682;42334;426119;98446;295906;31766
..Pošiljanje ali prejemanje e-pošte;2008;744060;181206;225377;180010;100571;51298;5598;383323;91948;257795;33580;360737;89258;248163;23316
..E-banèništvo;2008;333196;41660;117376;105626;40770;24382;3382;161140;22929;121875;16335;172056;18730;141897;11429
..Iskanje informacij o blagu, storitvah;2008;767671;172326;237411;185800;110930;54040;7164;400714;88254;277176;35284;366957;84072;256964;25920
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2008;413162;84944;132051;115656;53601;25426;1485;202106;38972;149995;13139;211056;45972;151312;13772
..Branje spletni novic, spletnih èasopisov, spletnih revij;2008;534540;123050;171396;125427;69981;40172;4515;282652;64533;193490;24630;251888;58517;173314;20057
...Naroèilo na spletne èasopisove, revije;2008;91524;21425;25402;22183;10026;10762;1726;53292;17409;28601;7282;38231;4016;29010;5206
..Iskanje službe, pošiljanje prošenj za službo;2008;154714;49302;74535;23104;5742;2032;-;83073;29014;52812;1247;71641;20288;50569;784
..Iskanje informacij, povezanih z zdravjem;2008;435280;77569;136770;121769;61427;33839;3906;192959;34609;141614;16736;242320;42960;178352;21009
..E-naroèanje obiska pri zdravniku;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
...Telefoniranje prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Prodaja blaga, storitev;2008;276890;73443;98129;72274;24852;8191;-;169641;49441;115356;4844;107249;24002;79900;3347
..Prenašanje programske opreme;2008;302182;104691;119279;48215;20207;8945;846;202361;69177;127860;5324;99822;35515;59840;4467
..Nalaganje lastnih vsebin na spletne strani;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2008;357170;100343;117375;88242;32530;15602;3078;174444;51722;113813;8910;182725;48620;124334;9770
..Opravljanje teèaja prek interneta;2008;46470;13227;15117;8246;7584;2296;-;26439;5212;20342;885;20031;8016;10605;1411
..Pridobivanje novih znanj, informacij;2008;495540;138674;153097;118809;56876;25390;2695;245455;67364;163073;15017;250085;71309;165709;13067
..Uporaba interneta za izobraževanje in teèaje;2008;575147;158182;178516;137218;69102;28206;3924;285883;77633;190632;17618;289264;80549;194204;14511
..Udeležba kakršnega koli teèaja;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Gledanje spletne TV;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Iskanje drugih informacij;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Branje spletnih forumov;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Neposredno sporoèanje;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Branje blogov;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2008;499536;103659;155018;131350;69856;35693;3961;247273;45639;176941;24693;252263;58019;179283;14961
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2008;463041;96479;144925;123634;63036;31006;3961;230745;41484;167752;21509;232297;54995;163844;13458
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2008;256391;34986;86305;83826;30827;19112;1336;125547;14601;100658;10288;130844;20384;100301;10159
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2008;106317;13783;42628;28484;15508;5068;846;55849;3518;48577;3754;50468;10266;38043;2159
Posamezniki;2009;1578677;222890;300386;300148;312086;254329;188839;788202;113836;463246;211121;790475;109054;449374;232047
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2009;978285;218537;260211;227044;175130;81783;15580;493318;112396;331124;49798;484967;106141;331262;47564
..Pošiljanje ali prejemanje e-pošte;2009;832775;205342;239913;186243;133254;58878;9144;423178;108006;277868;37304;409598;97336;281543;30719
..E-banèništvo;2009;386309;32970;140827;108440;73418;26104;4550;196930;18558;162622;15749;189379;14412;160062;14905
..Iskanje informacij o blagu, storitvah;2009;773656;156128;230722;178194;134130;65477;9004;386150;81419;264779;39952;387506;74710;278267;34529
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2009;568739;100342;181567;141367;93761;48159;3544;286729;52020;205542;29166;282010;48321;211153;22536
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2009;195462;34181;74459;48659;27175;9302;1686;97485;18667;71276;7542;97977;15514;79018;3446
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2009;397874;72947;122911;95197;67904;31545;7370;190394;29448;142296;18650;207480;43499;143716;20265
..Branje spletni novic, spletnih èasopisov, spletnih revij;2009;533674;117500;159874;120584;84189;44153;7374;265255;55549;183916;25790;268419;61952;180731;25736
...Naroèilo na spletne èasopisove, revije;2009;102214;18989;32954;21215;19648;8408;1001;50917;11515;34479;4924;51297;7474;39337;4486
..Iskanje službe, pošiljanje prošenj za službo;2009;193163;54800;78198;29893;27031;2243;997;93614;27000;65400;1214;99549;27800;69723;2026
