LETO;NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
2009;..Gledanje spletne TV;110753;128857;86036;64977;26989;2286
2009;..Iskanje drugih informacij;-;-;-;-;-;-
2009;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2009;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2009;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2009;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2009;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2009;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2009;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2009;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;145012;103044;46448;25254;12277;1684
2009;..Pošiljanje sporoèil v spletne klepetalnice;79570;61673;24618;13125;5376;377
2009;..Pošiljanje sporoèil v novièarske skupine;24498;30166;11122;7153;3761;-
2009;..Pošiljanje sporoèil v spletne forume;117233;75274;33373;14885;7793;1684
2009;..Branje spletnih forumov;161377;169661;102673;69253;29885;6664
2009;..Neposredno sporoèanje;175570;145161;82710;41305;19653;4780
2009;..Branje blogov;117861;120980;70747;51007;24421;3041
2009;..Pošiljanje komentarjev na druge bloge;88632;50882;21162;10731;4967;377
2009;..Ustvarjanje in urejanje lastnega bloga;70835;30786;9894;5687;2687;377
2009;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;101897;152284;119802;91821;38505;4943
2009;...Uporaba spletnih strani e-uprave za pridobivanje informacij;95948;147625;113705;83722;35694;4943
2009;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;41769;92927;80383;61618;19242;1854
2009;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;16283;42668;32364;25441;10563;860
2010;Posamezniki;218027;306771;302328;310519;256111;183336
2010;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];212507;284749;250300;199285;101054;22526
2010;..Pošiljanje ali prejemanje e-pošte;200207;260640;211419;148640;79187;16611
2010;..E-banèništvo;32542;145199;125254;91799;45942;9247
2010;..Iskanje informacij o blagu, storitvah;163097;254502;212176;158832;85694;18196
2010;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2010;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2010;..Uporaba storitev, povezanih s potovanji in nastanitvijo;94883;182807;152446;95885;53098;15119
2010;..Branje spletni novic, spletnih èasopisov, spletnih revij;129149;178897;149951;120365;56507;13018
2010;...Naroèilo na spletne èasopisove, revije;15546;25594;22396;16487;11466;3225
2010;..Iskanje službe, pošiljanje prošenj za službo;47994;88417;50559;23958;8318;-
2010;..Iskanje informacij, povezanih z zdravjem;111606;195333;174167;123490;65572;14420
2010;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2010;..Sodelovanje v spletnih družabnih omrežjih;-;-;-;-;-;-
2010;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2010;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;167349;156224;67306;25733;11225;2577
2010;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;59936;59512;46695;32774;15293;7893
2010;...Telefoniranje prek interneta;44796;51161;43050;29634;8875;5973
2010;…Video telefoniranje s spletno kamero prek interneta;46784;43786;23458;16553;9863;6452
2010;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2010;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2010;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2010;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2010;..Prodaja blaga, storitev;61384;99688;81593;52859;21488;4502
2010;..Prenašanje programske opreme;125903;117246;63330;29391;9387;1893
2010;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
