NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2008;413162;31487;222865;158810;202106;14032;120237;67837;211056;17455;102628;90973
..Branje spletni novic, spletnih èasopisov, spletnih revij;2008;534540;64400;295027;175113;282652;36271;177790;68591;251888;28129;117237;106522
...Naroèilo na spletne èasopisove, revije;2008;91524;9092;39912;42520;53292;9092;28065;16136;38231;-;11848;26384
..Iskanje službe, pošiljanje prošenj za službo;2008;154714;13496;93731;47487;83073;8702;54421;19950;71641;4794;39310;27537
..Iskanje informacij, povezanih z zdravjem;2008;435280;31960;245275;158045;192959;13903;124997;54059;242320;18058;120278;103985
..E-naroèanje obiska pri zdravniku;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-
...Telefoniranje prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Prodaja blaga, storitev;2008;276890;29971;176507;70412;169641;20650;118099;30891;107249;9321;58408;39521
..Prenašanje programske opreme;2008;302182;45988;164386;91808;202361;31788;120572;50001;99822;14200;43815;41806
..Nalaganje lastnih vsebin na spletne strani;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2008;357170;33298;179844;144028;174444;18622;105543;50279;182725;14675;74301;93749
..Opravljanje teèaja prek interneta;2008;46470;6191;23549;16729;26439;1530;16797;8112;20031;4662;6752;8617
..Pridobivanje novih znanj, informacij;2008;495540;55614;267508;172418;245455;28582;150410;66463;250084;27031;117098;105955
..Uporaba interneta za izobraževanje in teèaje;2008;575147;62707;315703;196738;285883;34270;177584;74029;289265;28437;138119;122709
..Udeležba kakršnega koli teèaja;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2008;-;-;-;-;-;-;-;-;-;-;-;-
